score,hand_length,action,result,reward
16,8,RETRY,unsettled,-5
20,8,STAND,win,20
15,7,RETRY,unsettled,-5
8,7,HIT,unsettled,0
17,7,STAND,draw,0
9,3,DOUBLE DOWN,draw,0
12,8,RETRY,unsettled,-5
12,8,RETRY,unsettled,-5
12,8,RETRY,unsettled,-5
11,8,HIT,unsettled,0
21,8,STAND,win,20
13,2,RETRY,unsettled,-5
16,2,RETRY,unsettled,-5
11,2,DOUBLE DOWN,lose,-40
12,4,RETRY,unsettled,-5
7,4,HIT,unsettled,0
17,4,STAND,win,20
7,5,HIT,unsettled,0
17,5,STAND,lose,-20
13,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
17,9,RETRY,unsettled,-5
16,9,RETRY,unsettled,-5
10,9,HIT,unsettled,0
15,9,RETRY,unsettled,-5
16,9,RETRY,unsettled,-5
20,9,STAND,draw,0
12,3,RETRY,unsettled,-5
20,3,STAND,win,20
19,10,HIT,unsettled,0
19,10,STAND,win,20
10,5,DOUBLE DOWN,win,40
12,3,RETRY,unsettled,-5
15,3,RETRY,unsettled,-5
18,3,STAND,win,20
15,4,RETRY,unsettled,-5
15,4,RETRY,unsettled,-5
16,4,RETRY,unsettled,-5
16,4,RETRY,unsettled,-5
8,4,HIT,unsettled,0
18,4,STAND,win,20
20,7,STAND,win,20
17,5,RETRY,unsettled,-5
21,5,STAND,win,30
19,7,STAND,win,20
9,5,HIT,unsettled,0
17,5,STAND,draw,0
17,11,HIT,unsettled,0
17,11,SURRENDER,surrendered,-10
11,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
21,10,STAND,win,20
12,10,HIT,bust,-20
14,4,RETRY,unsettled,-5
16,4,RETRY,unsettled,-5
16,4,RETRY,unsettled,-5
8,4,HIT,unsettled,0
18,4,STAND,lose,-20
16,7,RETRY,unsettled,-5
17,7,HIT,unsettled,0
16,7,RETRY,unsettled,-5
19,7,STAND,win,20
12,2,RETRY,unsettled,-5
15,2,RETRY,unsettled,-5
15,2,RETRY,unsettled,-5
12,2,RETRY,unsettled,-5
20,2,STAND,draw,0
15,8,HIT,unsettled,0
14,8,RETRY,unsettled,-5
15,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
21,8,STAND,win,20
20,10,STAND,draw,0
15,4,RETRY,unsettled,-5
14,4,RETRY,unsettled,-5
21,4,STAND,win,30
20,11,STAND,win,20
6,8,HIT,unsettled,0
8,8,HIT,unsettled,0
14,8,RETRY,unsettled,-5
12,8,RETRY,unsettled,-5
18,8,STAND,win,20
19,7,STAND,win,20
9,6,HIT,unsettled,0
18,6,STAND,win,20
21,7,STAND,win,30
10,8,HIT,unsettled,0
20,8,STAND,win,20
12,8,RETRY,unsettled,-5
12,8,RETRY,unsettled,-5
6,8,HIT,unsettled,0
11,8,HIT,unsettled,0
13,8,RETRY,unsettled,-5
21,8,STAND,draw,0
12,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
17,10,RETRY,bust,-25
21,3,STAND,win,30
12,6,RETRY,unsettled,-5
4,6,HIT,unsettled,0
14,6,RETRY,unsettled,-5
10,6,HIT,unsettled,0
20,6,STAND,win,20
13,3,RETRY,unsettled,-5
20,3,STAND,draw,0
11,3,DOUBLE DOWN,draw,0
19,10,STAND,win,20
17,2,STAND,win,20
18,3,STAND,lose,-20
20,8,STAND,win,20
18,8,STAND,draw,0
16,3,RETRY,unsettled,-5
16,3,STAND,lose,-20
15,9,RETRY,unsettled,-5
21,9,STAND,win,30
15,10,HIT,unsettled,0
20,10,STAND,draw,0
16,6,RETRY,unsettled,-5
12,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
10,6,HIT,unsettled,0
19,6,STAND,win,20
16,8,RETRY,unsettled,-5
10,8,HIT,unsettled,0
21,8,STAND,win,20
15,11,HIT,unsettled,0
18,11,STAND,lose,-20
14,11,SURRENDER,surrendered,-10
13,4,RETRY,unsettled,-5
9,4,HIT,unsettled,0
17,4,STAND,win,20
13,7,RETRY,unsettled,-5
20,7,STAND,win,20
11,10,HIT,unsettled,0
19,10,STAND,win,20
12,2,RETRY,unsettled,-5
15,2,RETRY,unsettled,-5
12,2,RETRY,unsettled,-5
19,2,STAND,win,20
17,9,RETRY,unsettled,-5
12,9,RETRY,unsettled,-5
9,9,HIT,unsettled,0
11,9,HIT,unsettled,0
17,9,RETRY,unsettled,-5
17,9,RETRY,unsettled,-5
15,9,RETRY,unsettled,-5
21,9,STAND,draw,0
21,7,STAND,win,30
20,8,STAND,win,20
13,10,RETRY,unsettled,-5
18,10,STAND,lose,-20
15,7,HIT,unsettled,0
15,7,RETRY,unsettled,-5
16,7,HIT,unsettled,0
16,7,RETRY,unsettled,-5
19,7,STAND,win,20
16,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
8,10,HIT,unsettled,0
11,10,HIT,unsettled,0
20,10,STAND,draw,0
6,2,HIT,unsettled,0
12,2,HIT,unsettled,0
17,2,STAND,lose,-20
12,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
16,10,RETRY,bust,-25
10,7,HIT,unsettled,0
17,7,STAND,win,20
11,10,HIT,unsettled,0
18,10,STAND,lose,-20
18,5,HIT,unsettled,0
18,5,STAND,win,20
19,9,STAND,win,20
15,10,RETRY,unsettled,-5
20,10,STAND,win,20
16,11,SURRENDER,surrendered,-10
8,11,HIT,unsettled,0
18,11,STAND,win,20
13,9,RETRY,unsettled,-5
13,9,RETRY,unsettled,-5
12,9,RETRY,unsettled,-5
10,9,HIT,unsettled,0
18,9,STAND,win,20
15,6,RETRY,unsettled,-5
12,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
10,6,HIT,unsettled,0
12,6,RETRY,unsettled,-5
21,6,STAND,win,20
17,3,STAND,draw,0
17,2,RETRY,unsettled,-5
16,2,STAND,lose,-20
5,10,HIT,unsettled,0
10,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
19,10,STAND,win,20
11,3,DOUBLE DOWN,draw,0
14,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
20,10,STAND,win,20
12,8,RETRY,unsettled,-5
14,8,RETRY,unsettled,-5
20,8,STAND,win,20
18,10,STAND,draw,0
11,10,HIT,unsettled,0
21,10,STAND,win,20
18,10,HIT,unsettled,0
18,10,STAND,draw,0
12,8,RETRY,unsettled,-5
17,8,HIT,unsettled,0
15,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
20,8,STAND,win,20
14,5,RETRY,unsettled,-5
14,5,RETRY,unsettled,-5
15,5,RETRY,unsettled,-5
19,5,STAND,win,20
13,10,RETRY,unsettled,-5
12,10,HIT,bust,-20
20,10,STAND,draw,0
17,10,STAND,lose,-20
13,5,RETRY,unsettled,-5
19,5,STAND,lose,-20
14,5,RETRY,unsettled,-5
17,5,STAND,lose,-20
15,8,RETRY,unsettled,-5
10,8,HIT,unsettled,0
12,8,RETRY,unsettled,-5
20,8,STAND,win,20
9,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
12,10,HIT,bust,-20
20,9,STAND,win,20
15,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
9,6,HIT,unsettled,0
19,6,STAND,win,20
13,4,HIT,unsettled,0
13,4,RETRY,unsettled,-5
12,4,RETRY,unsettled,-5
13,4,RETRY,unsettled,-5
13,4,RETRY,unsettled,-5
20,4,STAND,win,20
6,10,HIT,unsettled,0
17,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
12,10,HIT,bust,-20
20,11,STAND,lose,-20
12,6,RETRY,unsettled,-5
19,6,STAND,draw,0
20,7,STAND,win,20
16,10,HIT,unsettled,0
20,10,STAND,draw,0
11,9,HIT,unsettled,0
20,9,STAND,win,20
11,6,DOUBLE DOWN,win,40
10,4,DOUBLE DOWN,win,40
10,10,HIT,unsettled,0
21,10,STAND,win,20
20,11,STAND,win,20
13,3,RETRY,unsettled,-5
5,3,HIT,unsettled,0
15,3,STAND,lose,-20
16,4,RETRY,unsettled,-5
18,4,STAND,win,20
10,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
20,10,STAND,win,20
20,10,STAND,lose,-20
19,5,STAND,win,20
12,10,HIT,bust,-20
8,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
18,10,STAND,win,20
11,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
21,10,STAND,win,20
17,3,STAND,lose,-20
9,10,HIT,unsettled,0
18,10,STAND,win,20
16,5,RETRY,unsettled,-5
17,5,STAND,lose,-20
13,2,RETRY,unsettled,-5
10,2,DOUBLE DOWN,lose,-40
9,9,HIT,unsettled,0
19,9,STAND,win,20
20,5,STAND,win,20
15,10,RETRY,unsettled,-5
20,10,STAND,win,20
14,11,SURRENDER,surrendered,-10
15,5,HIT,unsettled,0
20,5,STAND,lose,-20
20,6,STAND,win,20
19,9,STAND,win,20
20,3,STAND,win,20
12,9,RETRY,unsettled,-5
11,9,HIT,unsettled,0
21,9,STAND,win,20
17,2,RETRY,unsettled,-5
16,2,RETRY,unsettled,-5
21,2,STAND,win,30
21,7,STAND,win,30
16,11,SURRENDER,surrendered,-10
18,10,STAND,lose,-20
15,2,RETRY,unsettled,-5
18,2,STAND,lose,-20
14,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
9,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
19,10,STAND,draw,0
13,4,HIT,unsettled,0
14,4,HIT,unsettled,0
14,4,STAND,lose,-20
18,5,HIT,unsettled,0
18,5,STAND,win,20
8,10,HIT,unsettled,0
19,10,STAND,lose,-20
19,3,STAND,win,20
13,4,RETRY,unsettled,-5
17,4,STAND,lose,-20
9,5,HIT,unsettled,0
19,5,STAND,win,20
11,9,HIT,unsettled,0
14,9,RETRY,unsettled,-5
21,9,STAND,win,20
15,9,RETRY,unsettled,-5
18,9,STAND,draw,0
12,2,RETRY,unsettled,-5
4,2,HIT,unsettled,0
12,2,HIT,unsettled,0
15,2,STAND,win,20
18,11,STAND,lose,-20
20,8,STAND,win,20
13,3,RETRY,unsettled,-5
13,3,RETRY,unsettled,-5
6,3,HIT,unsettled,0
16,3,STAND,lose,-20
16,9,RETRY,unsettled,-5
17,9,HIT,unsettled,0
14,9,RETRY,unsettled,-5
18,9,HIT,unsettled,0
12,9,RETRY,unsettled,-5
13,9,RETRY,unsettled,-5
21,9,STAND,win,20
15,4,RETRY,unsettled,-5
20,4,STAND,win,20
12,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
15,10,RETRY,bust,-25
15,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
21,10,STAND,win,20
16,11,SURRENDER,surrendered,-10
21,8,STAND,win,30
11,5,DOUBLE DOWN,win,40
15,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
18,10,HIT,unsettled,0
19,10,STAND,win,20
15,9,RETRY,unsettled,-5
13,9,RETRY,unsettled,-5
14,9,RETRY,unsettled,-5
19,9,STAND,draw,0
20,10,STAND,win,20
6,6,HIT,unsettled,0
11,6,HIT,unsettled,0
21,6,STAND,win,20
11,9,HIT,unsettled,0
19,9,STAND,win,20
12,7,RETRY,unsettled,-5
17,7,RETRY,unsettled,-5
15,7,RETRY,unsettled,-5
19,7,STAND,draw,0
9,10,HIT,unsettled,0
20,10,STAND,draw,0
19,5,STAND,win,20
20,9,STAND,win,20
20,6,STAND,win,20
17,2,RETRY,unsettled,-5
16,2,STAND,lose,-20
9,10,HIT,unsettled,0
13,10,RETRY,unsettled,-5
19,10,STAND,win,20
21,10,STAND,win,30
16,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
17,10,HIT,unsettled,0
12,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
18,10,STAND,win,20
8,3,HIT,unsettled,0
10,3,HIT,unsettled,0
13,3,STAND,win,20
8,4,HIT,unsettled,0
18,4,STAND,lose,-20
19,2,STAND,lose,-20
12,2,RETRY,unsettled,-5
14,2,RETRY,unsettled,-5
14,2,RETRY,unsettled,-5
14,2,RETRY,unsettled,-5
12,2,RETRY,unsettled,-5
11,2,DOUBLE DOWN,win,40
16,9,RETRY,unsettled,-5
13,9,RETRY,unsettled,-5
17,9,RETRY,unsettled,-5
10,9,HIT,unsettled,0
17,9,RETRY,unsettled,-5
16,9,RETRY,unsettled,-5
20,9,STAND,win,20
20,10,STAND,win,20
21,4,STAND,win,30
20,11,STAND,lose,-20
11,3,DOUBLE DOWN,win,40
13,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
9,10,HIT,unsettled,0
18,10,STAND,win,20
18,10,STAND,win,20
20,6,STAND,win,20
15,9,RETRY,unsettled,-5
18,9,STAND,lose,-20
18,4,STAND,draw,0
12,11,HIT,unsettled,0
19,11,STAND,lose,-20
6,3,HIT,unsettled,0
15,3,STAND,lose,-20
16,10,RETRY,unsettled,-5
9,10,HIT,unsettled,0
11,10,HIT,unsettled,0
21,10,STAND,draw,0
17,4,RETRY,unsettled,-5
15,4,RETRY,unsettled,-5
12,4,RETRY,unsettled,-5
16,4,RETRY,unsettled,-5
9,4,HIT,unsettled,0
18,4,STAND,win,20
18,6,STAND,draw,0
13,10,RETRY,unsettled,-5
20,10,STAND,win,20
15,8,RETRY,unsettled,-5
21,8,STAND,win,30
17,8,RETRY,unsettled,-5
21,8,STAND,win,30
16,11,SURRENDER,surrendered,-10
15,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
18,10,STAND,win,20
21,9,STAND,win,30
16,10,RETRY,unsettled,-5
20,10,STAND,draw,0
13,10,RETRY,unsettled,-5
19,10,STAND,draw,0
20,3,STAND,win,20
11,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
13,11,SURRENDER,surrendered,-10
18,10,STAND,lose,-20
16,7,RETRY,unsettled,-5
13,7,RETRY,unsettled,-5
12,7,RETRY,unsettled,-5
13,7,RETRY,unsettled,-5
20,7,STAND,draw,0
7,2,HIT,unsettled,0
17,2,STAND,lose,-20
20,10,STAND,draw,0
11,2,DOUBLE DOWN,lose,-40
17,7,RETRY,unsettled,-5
17,7,RETRY,unsettled,-5
12,7,RETRY,unsettled,-5
11,7,DOUBLE DOWN,lose,-40
15,11,SURRENDER,surrendered,-10
19,9,STAND,lose,-20
20,8,STAND,win,20
12,7,RETRY,unsettled,-5
20,7,STAND,win,20
13,2,RETRY,unsettled,-5
10,2,DOUBLE DOWN,win,40
8,4,HIT,unsettled,0
16,4,STAND,win,20
19,11,STAND,lose,-20
19,3,STAND,win,20
19,10,STAND,lose,-20
9,10,HIT,unsettled,0
19,10,STAND,lose,-20
11,9,HIT,unsettled,0
16,9,RETRY,unsettled,-5
20,9,STAND,win,20
8,4,HIT,unsettled,0
16,4,STAND,win,20
15,11,SURRENDER,surrendered,-10
14,11,SURRENDER,surrendered,-10
15,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
18,6,STAND,lose,-20
13,4,RETRY,unsettled,-5
12,4,RETRY,unsettled,-5
19,4,STAND,lose,-20
6,10,HIT,unsettled,0
9,10,HIT,unsettled,0
19,10,STAND,win,20
19,5,STAND,win,20
17,10,STAND,lose,-20
18,11,STAND,lose,-20
12,10,HIT,bust,-20
21,3,STAND,win,30
10,9,HIT,unsettled,0
20,9,STAND,draw,0
16,6,RETRY,unsettled,-5
17,6,STAND,lose,-20
20,10,STAND,lose,-20
15,3,RETRY,unsettled,-5
7,3,HIT,unsettled,0
11,3,HIT,unsettled,0
12,3,HIT,bust,-20
21,9,STAND,win,30
13,5,HIT,unsettled,0
13,5,RETRY,unsettled,-5
19,5,STAND,win,20
20,11,STAND,win,20
13,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
14,8,RETRY,unsettled,-5
10,8,HIT,unsettled,0
20,8,STAND,win,20
20,5,STAND,win,20
20,5,STAND,win,20
11,8,HIT,unsettled,0
18,8,STAND,draw,0
13,4,RETRY,unsettled,-5
10,4,DOUBLE DOWN,win,40
18,9,STAND,win,20
18,2,STAND,draw,0
8,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
20,4,STAND,win,20
18,10,STAND,win,20
20,11,STAND,win,20
19,4,STAND,win,20
14,6,RETRY,unsettled,-5
14,6,RETRY,unsettled,-5
14,6,RETRY,unsettled,-5
14,6,RETRY,unsettled,-5
15,6,HIT,unsettled,0
14,6,RETRY,unsettled,-5
18,6,HIT,unsettled,0
12,6,RETRY,unsettled,-5
19,6,STAND,win,20
13,5,HIT,unsettled,0
18,5,HIT,unsettled,0
18,5,STAND,win,20
15,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
7,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
15,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
19,10,STAND,lose,-20
18,3,STAND,lose,-20
16,10,RETRY,unsettled,-5
18,10,STAND,win,20
12,11,HIT,bust,-20
16,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
20,10,STAND,win,20
10,11,HIT,unsettled,0
16,11,SURRENDER,surrendered,-10
18,7,STAND,draw,0
21,10,STAND,win,30
15,7,HIT,unsettled,0
21,7,STAND,win,20
20,8,STAND,draw,0
12,4,RETRY,unsettled,-5
11,4,DOUBLE DOWN,win,40
17,10,HIT,unsettled,0
20,10,STAND,win,20
14,9,RETRY,unsettled,-5
20,9,STAND,draw,0
12,11,HIT,bust,-20
18,5,STAND,lose,-20
12,9,RETRY,unsettled,-5
18,9,STAND,win,20
19,6,STAND,draw,0
19,10,STAND,lose,-20
21,5,STAND,win,30
20,9,STAND,lose,-20
6,2,HIT,unsettled,0
13,2,STAND,win,20
13,7,RETRY,unsettled,-5
20,7,STAND,lose,-20
20,4,STAND,draw,0
15,6,RETRY,unsettled,-5
13,6,RETRY,unsettled,-5
20,6,STAND,lose,-20
17,11,SURRENDER,surrendered,-10
20,7,STAND,draw,0
16,11,SURRENDER,surrendered,-10
13,11,SURRENDER,surrendered,-10
21,8,STAND,win,30
16,4,RETRY,unsettled,-5
20,4,STAND,win,20
16,5,RETRY,unsettled,-5
11,5,DOUBLE DOWN,win,40
17,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
14,8,RETRY,unsettled,-5
20,8,STAND,win,20
12,10,HIT,unsettled,0
18,10,STAND,win,20
12,11,HIT,unsettled,0
20,11,STAND,lose,-20
18,10,STAND,win,20
15,8,RETRY,unsettled,-5
7,8,HIT,unsettled,0
16,8,RETRY,unsettled,-5
17,8,RETRY,unsettled,-5
17,8,RETRY,unsettled,-5
13,8,RETRY,unsettled,-5
10,8,HIT,unsettled,0
13,8,RETRY,unsettled,-5
16,8,RETRY,unsettled,-5
20,8,STAND,win,20
10,5,DOUBLE DOWN,win,40
14,3,RETRY,unsettled,-5
14,3,RETRY,unsettled,-5
21,3,STAND,win,30
9,5,HIT,unsettled,0
19,5,STAND,win,20
16,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
10,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
12,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
17,10,RETRY,bust,-25
9,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
19,10,STAND,draw,0
16,2,RETRY,unsettled,-5
14,2,RETRY,unsettled,-5
13,2,RETRY,unsettled,-5
19,2,STAND,draw,0
16,10,RETRY,unsettled,-5
20,10,STAND,draw,0
12,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
20,10,STAND,draw,0
15,7,RETRY,unsettled,-5
14,7,RETRY,unsettled,-5
20,7,STAND,win,20
19,4,STAND,win,20
18,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
9,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
12,10,HIT,bust,-20
13,8,HIT,unsettled,0
19,8,STAND,win,20
5,7,HIT,unsettled,0
9,7,HIT,unsettled,0
11,7,HIT,unsettled,0
15,7,RETRY,unsettled,-5
19,7,STAND,win,20
13,10,RETRY,unsettled,-5
16,10,HIT,unsettled,0
12,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
18,10,STAND,lose,-20
16,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
8,10,HIT,unsettled,0
12,10,HIT,bust,-20
16,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
17,10,STAND,lose,-20
21,10,STAND,win,30
19,6,STAND,win,20
13,10,RETRY,unsettled,-5
18,10,STAND,win,20
20,5,STAND,win,20
15,9,HIT,unsettled,0
19,9,STAND,win,20
17,8,RETRY,unsettled,-5
10,8,HIT,unsettled,0
21,8,STAND,win,20
13,9,RETRY,unsettled,-5
14,9,HIT,unsettled,0
19,9,STAND,draw,0
18,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
20,10,STAND,win,20
16,11,SURRENDER,surrendered,-10
12,10,HIT,unsettled,0
19,10,STAND,win,20
8,6,HIT,unsettled,0
11,6,HIT,unsettled,0
14,6,RETRY,unsettled,-5
15,6,RETRY,unsettled,-5
12,6,RETRY,unsettled,-5
18,6,STAND,draw,0
19,9,STAND,draw,0
14,7,RETRY,unsettled,-5
8,7,HIT,unsettled,0
16,7,RETRY,unsettled,-5
11,7,DOUBLE DOWN,win,40
13,5,RETRY,unsettled,-5
18,5,STAND,draw,0
15,7,RETRY,unsettled,-5
19,7,STAND,win,20
17,2,STAND,lose,-20
20,5,STAND,win,20
13,2,RETRY,unsettled,-5
9,2,DOUBLE DOWN,lose,-40
12,3,RETRY,unsettled,-5
20,3,STAND,win,20
7,5,HIT,unsettled,0
17,5,STAND,lose,-20
14,4,RETRY,unsettled,-5
18,4,STAND,draw,0
19,10,HIT,unsettled,0
13,10,RETRY,unsettled,-5
19,10,STAND,win,20
19,10,STAND,lose,-20
16,10,RETRY,unsettled,-5
20,10,STAND,win,20
6,11,HIT,unsettled,0
15,11,SURRENDER,surrendered,-10
10,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
12,10,HIT,unsettled,0
19,10,STAND,lose,-20
18,3,STAND,lose,-20
17,4,RETRY,unsettled,-5
15,4,RETRY,unsettled,-5
17,4,STAND,draw,0
17,6,HIT,unsettled,0
17,6,STAND,lose,-20
12,10,HIT,bust,-20
19,5,STAND,win,20
15,11,SURRENDER,surrendered,-10
7,10,HIT,unsettled,0
18,10,HIT,unsettled,0
19,10,STAND,win,20
9,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
16,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
21,10,STAND,win,30
4,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
19,10,STAND,lose,-20
14,3,RETRY,unsettled,-5
9,3,DOUBLE DOWN,win,40
10,10,HIT,unsettled,0
20,10,STAND,win,20
19,9,STAND,draw,0
19,10,STAND,draw,0
6,2,HIT,unsettled,0
16,2,STAND,lose,-20
7,6,HIT,unsettled,0
14,6,RETRY,unsettled,-5
15,6,RETRY,unsettled,-5
15,6,RETRY,unsettled,-5
14,6,RETRY,unsettled,-5
11,6,DOUBLE DOWN,win,40
16,10,SURRENDER,surrendered,-10
13,11,HIT,unsettled,0
16,11,SURRENDER,surrendered,-10
20,7,STAND,win,20
12,10,HIT,bust,-20
12,5,RETRY,unsettled,-5
14,5,RETRY,unsettled,-5
17,5,HIT,unsettled,0
21,5,STAND,win,20
5,5,HIT,unsettled,0
14,5,RETRY,unsettled,-5
7,5,HIT,unsettled,0
15,5,STAND,lose,-20
16,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
20,10,STAND,win,20
10,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
16,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
20,10,STAND,win,20
19,10,STAND,lose,-20
17,10,HIT,unsettled,0
17,10,RETRY,unsettled,-5
21,10,STAND,win,20
13,10,RETRY,unsettled,-5
20,10,STAND,win,20
9,5,HIT,unsettled,0
11,5,HIT,unsettled,0
19,5,STAND,win,20
12,8,RETRY,unsettled,-5
11,8,HIT,unsettled,0
18,8,STAND,draw,0
6,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
11,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
21,10,STAND,win,20
12,7,RETRY,unsettled,-5
12,7,RETRY,unsettled,-5
5,7,HIT,unsettled,0
15,7,RETRY,unsettled,-5
8,7,HIT,unsettled,0
15,7,RETRY,unsettled,-5
16,7,RETRY,unsettled,-5
18,7,STAND,lose,-20
20,2,STAND,win,20
20,10,STAND,win,20
21,5,STAND,win,30
15,8,HIT,unsettled,0
12,8,RETRY,unsettled,-5
15,8,RETRY,unsettled,-5
20,8,STAND,win,20
12,11,HIT,unsettled,0
13,11,SURRENDER,surrendered,-10
6,6,HIT,unsettled,0
12,6,RETRY,unsettled,-5
16,6,RETRY,unsettled,-5
12,6,RETRY,unsettled,-5
10,6,HIT,unsettled,0
20,6,STAND,win,20
13,6,RETRY,unsettled,-5
13,6,RETRY,unsettled,-5
6,6,HIT,unsettled,0
16,6,RETRY,unsettled,-5
15,6,RETRY,unsettled,-5
10,6,HIT,unsettled,0
17,6,STAND,lose,-20
18,8,STAND,win,20
20,5,STAND,lose,-20
13,5,RETRY,unsettled,-5
14,5,HIT,unsettled,0
14,5,RETRY,unsettled,-5
19,5,STAND,win,20
5,10,HIT,unsettled,0
15,10,RETRY,unsettled,-5
12,10,HIT,unsettled,0
16,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
17,10,RETRY,unsettled,-5
19,10,STAND,draw,0
16,11,SURRENDER,surrendered,-10
18,10,STAND,lose,-20
21,7,STAND,win,30
21,11,STAND,win,30
21,4,STAND,win,30
17,10,STAND,win,20
9,4,DOUBLE DOWN,win,40
14,10,RETRY,unsettled,-5
9,10,HIT,unsettled,0
12,10,HIT,unsettled,0
14,10,RETRY,unsettled,-5
18,10,STAND,lose,-20
21,2,STAND,win,30
13,3,RETRY,unsettled,-5
10,3,DOUBLE DOWN,win,40
12,10,HIT,unsettled,0
20,10,STAND,draw,0
20,6,STAND,lose,-20
14,6,RETRY,unsettled,-5
13,6,RETRY,unsettled,-5
19,6,STAND,draw,0
13,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
14,10,RETRY,unsettled,-5
13,10,RETRY,unsettled,-5
10,10,HIT,unsettled,0
